datetime,price,temp,wind_speed,hour,day_of_week,day_of_month,month,week_of_year,quarter,year,season,is_weekend,is_peak_hour,is_night_hour,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,week_of_year_sin,week_of_year_cos,is_holiday,is_non_working,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_6h,price_lag_12h,price_lag_24h,price_lag_48h,price_lag_168h,price_rolling_mean_24h,price_rolling_std_24h,price_rolling_min_24h,price_rolling_max_24h,price_rolling_mean_168h,temp_rolling_mean_24h,HDD,wind_power_proxy,temp_lag_24h,temp_lag_168h
2025-10-30 06:00:00,54.69,1.5333333333333332,3.766666666666667,6,3,30,10,44,4,2025,4,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,51.03,51.2,55.7,56.13,140.47,75.58,28.63,15.7,90.35541666666666,25.26794342711921,51.03,140.47,46.452261904761905,5.3374999999999995,15.466666666666667,53.44062962962965,5.25,6.099999999999999
2025-10-30 07:00:00,70.33,0.95,3.7,7,3,30,10,44,4,2025,4,0,1,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,54.69,51.03,51.2,69.06,135.39,100.5,53.12,29.57,89.485,26.14367676480247,51.03,140.47,46.68434523809524,5.1826388888888895,16.05,50.653000000000006,4.7,5.933333333333334
2025-10-30 08:00:00,82.8,3.0,3.8,8,3,30,10,44,4,2025,4,0,1,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,70.33,54.69,51.03,62.05,112.4,97.27,68.74,55.64,88.22791666666667,26.315782829048793,51.03,140.47,46.92696428571429,5.026388888888889,14.0,54.87199999999999,5.45,5.966666666666666
2025-10-30 09:00:00,88.46,6.116666666666667,4.116666666666666,9,3,30,10,44,4,2025,4,0,1,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,82.8,70.33,54.69,55.7,93.84,111.2,79.2,67.2,87.625,26.265325629708915,51.03,140.47,47.08863095238095,4.924305555555555,10.883333333333333,69.76492129629628,6.433333333333334,6.05
2025-10-30 10:00:00,71.67,7.5,3.3666666666666667,10,3,30,10,44,4,2025,4,0,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,88.46,82.8,70.33,51.2,88.2,90.34,79.11,68.17,86.67750000000001,25.78364753937353,51.03,140.47,47.215178571428574,4.9111111111111105,9.5,38.1592962962963,7.733333333333333,6.233333333333333
2025-10-30 11:00:00,60.3,7.933333333333334,3.6666666666666665,11,3,30,10,44,4,2025,4,0,0,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,71.67,88.46,82.8,51.03,65.47,102.3,77.85,66.44,85.89958333333334,25.949454627619314,51.03,140.47,47.23601190476191,4.901388888888889,9.066666666666666,49.29629629629629,8.0,6.416666666666667
2025-10-30 12:00:00,47.54,7.616666666666667,4.05,12,3,30,10,44,4,2025,4,0,0,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,60.3,71.67,88.46,54.69,56.13,104.87,77.98,64.3,84.14958333333334,26.21024649937172,51.03,140.47,47.199464285714285,4.898611111111111,9.383333333333333,66.43012499999999,7.649999999999999,6.483333333333333
2025-10-30 13:00:00,43.12,7.466666666666666,3.8333333333333335,13,3,30,10,44,4,2025,4,0,0,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,47.54,60.3,71.67,70.33,69.06,99.89,72.23,63.7,81.76083333333334,26.84452043781161,47.54,140.47,47.09970238095238,4.897222222222222,9.533333333333335,56.32870370370371,7.899999999999999,6.6000000000000005
2025-10-30 14:00:00,39.43,7.416666666666667,3.016666666666667,14,3,30,10,44,4,2025,4,0,0,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,43.12,47.54,60.3,82.8,62.05,94.27,65.63,62.11,79.39541666666666,27.66618796185029,43.12,140.47,46.977202380952384,4.879166666666666,9.583333333333332,27.45250462962964,7.966666666666666,6.599999999999999
2025-10-30 15:00:00,33.05,7.333333333333333,2.6166666666666667,15,3,30,10,44,4,2025,4,0,0,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,39.43,43.12,47.54,88.46,55.7,87.98,75.91,65.48,77.11041666666667,28.632062368450892,39.43,140.47,46.84220238095238,4.85625,9.666666666666668,17.916171296296298,7.6,6.7
2025-10-30 16:00:00,25.43,7.033333333333334,3.4166666666666665,16,3,30,10,44,4,2025,4,0,0,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,33.05,39.43,43.12,71.67,51.2,103.42,96.74,65.81,74.82166666666667,29.893096726232663,33.05,140.47,46.649166666666666,4.845138888888889,9.966666666666665,39.884837962962955,7.233333333333333,6.733333333333333
